id,inner_id,mark,model,generation,configuration,complectation,url,price_rub,price_usd,price_eur,year,km_age,color,wheel,vin,pts,owners_count,section,condition,in_stock,custom,seller,address,region,city,offer_updated_at,options,engine_type,displacement,horse_power,body_type,transmission,drive_type,no_accidents,seller_id,seller_url,image_urls
4200245,1117797785-42010c71,Mercedes-Benz,V-Класс,II,Минивэн L,V300 d длинный,https://auto.ru/cars/new/sale/mercedes/v_klasse/1117797785-42010c71/,20211764,291500,268038,2022,,чёрный,левый,W1V**************,,0,NEW,среднее,IN_STOCK,растаможен,РОЛЬФ Звезда Столицы Варшавка,"Варшавское шоссе, 127",Москва и Московская область,Москва,2023-01-29 19:47:44 +0300,"[""multi-wheel"",""airbag-passenger"",""lock"",""door-sill-panel"",""electro-mirrors"",""mirrors-heat"",""leather"",""collision-prevention-assist"",""computer"",""steel-wheels"",""airbag-side"",""abs"",""wheel-leather"",""third-row-seats"",""climate-control-1"",""esp"",""usb"",""audiopreparation"",""front-centre-armrest"",""servo"",""electro-window-back"",""condition"",""airbag-driver"",""isofix"",""electro-window-front"",""light-sensor"",""hcc"",""airbag-curtain"",""leather-gear-stick"",""traffic-sign-recognition"",""tyre-pressure"",""bluetooth"",""wheel-configuration2"",""wheel-configuration1"",""immo"",""12v-socket""]",дизель,2.0,237,минивэн,автомат,полный,false,23005953,https://auto.ru/diler/cars/all/zvezda_stolici_varshavka_moskva/,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1963215/3d8ae908bb99fcae1a4121832aba4679/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2179888/86e44ecac24ec829e60b4fc330bee209/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2078854/7722278f56de64d97523b77f75fc10b9/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1936147/ab63b2a4baee4025765b3ba98e621678/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2087846/dd33910e45c247b2e99e59e7935b6804/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2155549/4f032226bb1b300db05573c676d8d3cb/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4441840/b1f3ea1aade2e1ecde4d805c4acc5890/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2072159/57d21234e3b53ecc0288d086f14e33de/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2170895/43036009010c0439c5d9f9cd7809cb75/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1993805/d318c33e896674018925d53853471505/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2156142/174df1500ae364640708b6cf5b866351/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1871183/523a2dd20ab5efb28f0d0b1f9fc2cb5f/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2087990/f56be3e4bf4f909ec024bf0563da235f/1200x900""}]"
4200246,1117796588-2876eddf,Mercedes-Benz,S-Класс,VII (W223),Седан Long,,https://auto.ru/cars/used/sale/mercedes/s_klasse/1117796588-2876eddf/,20000000,288445,265230,2022,200,чёрный,левый,W1K**************,оригинал,1,USED,среднее,IN_STOCK,растаможен,РОЛЬФ Звезда Столицы Каширка | Автомобили с пробегом,"МКАД, 24-й километр, внешняя сторона, вл17",Москва и Московская область,Москва,2023-01-30 08:14:49 +0300,,бензин,3.0,435,седан,автомат,полный,false,20883522,https://auto.ru/diler/cars/all/zvezda_stolici_kashirka_rolf_moskva/,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2170669/b7e4c4486c29e1a39e2ce8e0901185c1/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2023615/96933f0c5bd1d3c8a29329e1d0df6a56/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2057171/a400d3c72b4dd98c4473f44062a99a47/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2163416/103768f560b00c92e66b0229951b4712/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2068358/29a9072308f6abac585b6048153340fd/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2198108/7c21ec6d9563a660f12f7176680d32f9/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1970610/c5407a91ac8884a3cb1ab1ca89f46bdc/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2159751/24cfa2f8135482243b57cef865c16212/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2076279/baa4995dc5927984557b90287bb93695/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2168853/7c363050c492c960bf620967b5af0f84/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2172104/90719ac84ee464a1d3d69bfad0a341c7/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2161763/c6a4346bd0b4e430e26115f3bf8c05c5/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4219430/00d08eb8bf0bec01d44bc5613af9980b/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2154786/a0b14dd022fa30051c0192d9229fb226/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2198108/a12b47f33695015125bacfa998bd2e91/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2078455/fa8e8db9a20c2a9616742c0d69c1a6ae/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2057362/5b2fce94b8bba264e5963c908616ccbe/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2174525/a0c064bff7f12ec379c43240dc8bd233/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1888884/71ff65733649745a5a35347841c3db75/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1544430/d36e4f4ca7f5df9eede868438dadca38/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2175262/e0dcf5527682df4aa982dcf0a884580f/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1986206/7a2b10740ac4ebf355f25c92d5a753e8/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1711983/7b7f252e5ac233fad426fb667e8e7539/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4220405/ea2307edb506b485882a0127ce8067bf/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4466296/b6f205a81dce90f3c260f281c4bdafd5/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4032314/414c699810b6a5ffd27f17a1fa8a85dd/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2143497/dd6f05e7cfb74e0949bfdcc43e10be59/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2180204/0ec1b2186340b1858ae3d9a46afb0a2c/1200x900""}]"
4200247,1117796585-51594c28,Mercedes-Benz,G-Класс AMG,II (W463),Внедорожник 5 дв.,,https://auto.ru/cars/used/sale/mercedes/g_klasse_amg/1117796585-51594c28/,24300000,350461,322255,2022,82,чёрный,левый,W1N**************,оригинал,1,USED,среднее,IN_STOCK,растаможен,РОЛЬФ Звезда Столицы Варшавка,"Варшавское шоссе, 127",Москва и Московская область,Москва,2023-01-30 08:14:49 +0300,,бензин,4.0,585,пятидверный внедорожник,автомат,полный,false,23005953,https://auto.ru/diler/cars/all/zvezda_stolici_varshavka_moskva/,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2174323/353ed96486b7440e46c11b2e7f36062f/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2157912/da49c7a2522d250dc522fc6c6ea5312e/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2155159/91ce1e47741c8251562d12ba6f3876ce/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1984354/5966d3ffd5024b045f8f224d1a790afd/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2162551/263e737bd71689124e77117c52c15efd/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2172109/094449f28c2818f9851dd2e7668ece0e/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2110460/4c621df347d733d219943948a9bd9c4f/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1906532/91554a67822a915ca5be13dc778d330b/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1942544/60cad6f3322e6414f42924acc4bf67c0/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1936509/375efb93576b7bd6bd7fa19bc67973a8/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2165703/41455dc63ccdffaf5c0ddbf9515c59d5/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2090686/01ca706770b3836de5faa1db6c0a07d5/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2161514/ed7d603674b253deaeb81a790140a366/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4119679/3978e88f5a8c81a52f89df8238ce05a8/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2169820/4710c0d88cf45967239e819377086695/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2105323/9251a9f02b4dd8158732695f92f725f1/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2113434/ae142c5d9cada96fe6952a904cf680cb/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1875893/040b765cb1eefc0e639d1ab8fddb00d3/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2056918/5b5222fd2f373fd98c7649cfd0b65cd4/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2160158/5c4b0b72bf1d9bed1adb76b6d5968bfa/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2165636/055d90190ea1724c03209b248db1ae0c/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1981977/02e6f0b6ff16857848b251e5d0f55247/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1599755/8410c32a37e3a7ec40964d05e4df1149/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4792406/a59e945c18f1d59f9b0a5d97ec16d6f0/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2195081/49de8690307497565beb24e5fe227ad1/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2160801/cbb496afc71e9b6e60207f2ebe88379b/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5235238/4424a579ffa3fbb33a2cc576c01b64e1/1200x900""}]"
4200248,1116028737-b84e0a90,Mercedes-Benz,Maybach S-Класс,II (Z223),Седан,,https://auto.ru/cars/used/sale/mercedes/s_class_maybach/1116028737-b84e0a90/,54075000,779884,717116,2022,21,коричневый,левый,W1K**************,оригинал,1,USED,среднее,IN_STOCK,растаможен,РОЛЬФ Звезда Столицы Варшавка,"Варшавское шоссе, дом 127",Москва и Московская область,Москва,2023-01-30 08:14:49 +0300,,бензин,6.0,612,седан,автомат,полный,false,23005953,https://auto.ru/diler/cars/all/zvezda_stolici_varshavka_moskva/,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2159521/cf93483071c3719647efb813d98152ec/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2186896/9e757bd8218694a9029a76e2efc8a0e9/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2163861/2fb4989c2e8c1bd0a3b2ba2755137d4c/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2167318/01a16810eec0070edd02c5ddfd5040d0/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2165425/6fa5a422a8eb8ef32339d8de81520270/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2165894/0626593d9eb584762e68fae4b5ae74f4/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2172104/4b42e45ca5be1111843cc18526ea686a/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2156984/bc3f9eab35726f5604b62f6547048ed1/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/3926749/619403423520ef529e3c2e4b7ef76ec9/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2154757/68b86fed0e69cb2cd370e92a967299e4/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5358521/32046308a2bca0d19ba441f5a5aaf6ee/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2180066/fa4fffbc1226f2be7565510e33d9f2c5/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2172509/bb382b544acd2dcf776f3ae8220119ef/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1998570/aaab75c126cbe0c658e4b364f093e37e/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2163416/48455eebbd30a045d08b53a2d47285e5/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2154519/b9af6368867070ae8e52c8611b479fdc/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2079837/d969107d036af5c43f1d9cbc1b2ac799/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2165636/7c805ba8d5db82bb93682f060270ac3e/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2165712/a00ab113d641060e475503e434f9106e/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2158063/43f0ba49b69e8fd9bf54ef9caaefcc75/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2154786/5d41b3056fbed70c1e4a56172c021760/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5275337/0893802b8c1c3520ab1511c3addd0f42/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2158086/f91f9a5bd3997ec7b93515408c0dfa04/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2181105/1d91fa8efe658a1412877938719f856d/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1597981/c473552c6ee7d867a9c99a17160b4cdc/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2170669/3c87e24039c149ff9a34330f3b4e4cbd/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2078134/0406c3a2a1c1d8ab8b5cc019188fd3d8/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2068903/ef863031c5a0189f4b233e7756608bef/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1898314/a8e821808437e0fc8ae3d8575adc73d7/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1871539/8765876704784dddaef90c9bd9cbe15f/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1925516/87090f300769cc98a4f1e939f77231bc/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1997083/398db24dc6c01ad11087636828f04aa4/1200x900""}]"
4200249,1117800280-c5f9e03d,LADA (ВАЗ),2104,,Универсал 5 дв.,,https://auto.ru/cars/used/sale/vaz/2104/1117800280-c5f9e03d/,127000,1832,1684,2011,63000,серый,левый,XWK**************,оригинал,1,USED,среднее,IN_STOCK,растаможен,id31595393,,Свердловская область,Екатеринбург,2023-01-11 10:31:03 +0300,,бензин,1.6,74,универсал,механика,задний,false,,,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1956270/01021af4a41497bcb81513f99aa810eb/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2075603/3ca540997e492c1b31ee7259dc7dfc13/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1778510/17f0255a9af8237d2cb13b4960f8ef29/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4525519/1c71f4ec18f6452926340bb50f373609/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2058179/98d4bb8ff0622ae6bb627984f92b3a0a/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2057082/3e4f0e7a711ca2787f3352c4c03dc507/1200x900""}]"
4200250,1117803278-35d38336,LADA (ВАЗ),2111,,Универсал 5 дв.,,https://auto.ru/cars/used/sale/vaz/2111/1117803278-35d38336/,130000,1875,1724,2003,100000,серебристый,левый,XTA**************,оригинал,2,USED,среднее,IN_STOCK,растаможен,70889711,"Минская ул., 1",Ивановская область,Иваново,2023-01-11 15:43:41 +0300,,бензин,1.5,79,универсал,механика,передний,true,,,"[{""url"":""//avatars.mds.yandex.net/get-verba/787013/2a000001609d06d5c7df34307d361ef9d5be/cattouch""}]"
4200251,1117799641-76e99239,Toyota,Corona,IX (T190),Седан,,https://auto.ru/cars/used/sale/toyota/corona/1117799641-76e99239/,180000,2596,2387,1994,235476,зелёный,правый,CT1950***********,оригинал,1,USED,среднее,IN_STOCK,растаможен,Владимир,,Камчатский край,Петропавловск-Камчатский,2023-01-29 22:35:49 +0300,,дизель,2.0,73,седан,механика,полный,true,,,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1567646/d019771ecc7cc879aae1695c98f7229e/1200x900""}]"
4200252,1116688902-87d32225,LADA (ВАЗ),2107,,Седан,,https://auto.ru/cars/used/sale/vaz/2107/1116688902-87d32225/,145000,2091,1923,2007,112000,белый,левый,XTA**************,оригинал,4,USED,среднее,IN_STOCK,растаможен,Влад,,Воронежская область,Таловая,2023-01-11 14:47:54 +0300,,бензин,1.6,74,седан,механика,задний,true,,,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2156415/686329a9503d46a91fad571b0ef0c387/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2087846/b405d8eeb9431fb1c599a4adc4c75d51/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1729789/af690c596c86575fdfdd4681dddf33ac/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2165541/811b2abc669bd490e67f2e56f4befbd6/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2029912/4295d1741e8cc727ee3e1f74bf641392/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1966039/fd18058ae92837b2a5f6bd4151b86c86/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/7067970/ba527c56a6731fe80b4794e50cb261b3/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2155890/ced5ff84ffa0d5fe98084cf20c7e2e73/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2179989/8b04c3937c301b49cd45f868c96ac7f5/1200x900""}]"
4200253,1117802977-b5ea8ac3,Ford,Fiesta,Mk5,Хэтчбек 3 дв.,,https://auto.ru/cars/used/sale/ford/fiesta/1117802977-b5ea8ac3/,149000,2149,1976,2004,160000,синий,левый,WF0**************,оригинал,4,USED,среднее,IN_STOCK,растаможен,R online,"улица Красные Горки, 25, офис 45",Тверская область,Тверь,2023-01-29 20:37:01 +0300,,бензин,1.3,70,трехдверный хэтчбэк,механика,передний,true,23074123,https://auto.ru/diler/cars/all/r_plus_online_tver/,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1871539/7392ffbc6d0e921f3394fd1030fc7f79/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2160411/a02f906726ee0439d611f4a7414a5075/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1987375/f9dcfff22dded4d7a2c9323a8f3f0506/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5232887/4159249d5f4da6d19b71a636ca3de59e/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1981977/acc10c2c8cb33333fcd2caaed6144301/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2058179/2c9eb7a15204d4ed73ab499e9474bf2f/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2175643/8daf86528bf6dff2a301bf15d39158c4/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4211830/27aa916b184adaef912336ab1a746563/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2105246/e93f9d0a2de281ed15a29fec91213d90/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2164695/980b66b32ec7f42467ff3c4c587bbf20/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2167318/e5394a150a46a2f60d67ed1414020ca8/1200x900""}]"
4200254,1117799832-5e11b5ba,Toyota,Mark II,VII (X90),Седан,,https://auto.ru/cars/used/sale/toyota/mark_ii/1117799832-5e11b5ba/,262000,3779,3475,1994,275000,белый,правый,JZX906***********,дубликат,4,USED,среднее,IN_STOCK,растаможен,32159701,,Красноярский край,Ачинск,2023-01-27 05:06:30 +0300,,бензин,2.5,180,седан,автомат,задний,false,,,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2179969/28451007c8225cdd7f3f5c179172c975/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2133985/1e221002013f12aed606a776605d7564/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1989100/a106e1b137594a600f60c2e396e48799/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2172060/967d13b19c46c0fd161a2e3273e810c9/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2158987/a88f5d627d605f66ebc511ea5ff37b71/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2049647/2468ad92a7cca9ea235912fedb4e9371/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1936677/9b145d93aec8d02caf5b47078e5dd063/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/3710589/a69955b83ff079ab2e3985f32ba3207b/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5231043/1f9029192ddc06dd951da5e9879222c0/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5238237/ef8eb152552a6de98c78162c51a4c601/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2198108/12760e9396deb9be0f9a92e8d4fbf027/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5156061/67eae744bcf86dbf9b748f2261ae1419/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2156482/f853f480d0c0e81b43c334ceca24b199/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2088079/b12553291e5f8c8b7cda4981dcb79317/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1894405/16ffb7a24ec4acc5e6bd3c24dcf13bbf/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2104367/16e5982e00bc8b45afc37965c2075f66/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5358521/b52d2e365cf928de850d968b733c84f0/1200x900""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5231043/9dcabddb2ab06c905c04cc5c128d7ef4/1200x900""}]"
